pairIdx	index	syn1	syn2	DiachrD1	DiachrD2	DiachrDG1	DiachrDG2	DiachrDG_avg	DiachrDG_avgstd	FO1	FO2	FE1	FE2	EnoughFreq	FGO1	FGO2	FGE1	FGE2	FEvol1	FEvol2	WNpressure_1	WNpressure_2	WNsenses_1	WNsenses_2	SDO	SDE	Div	SDGO	SDGE	Dec_avg	Dec_avgstd
399	2711	call	predict	0.7577639751552795	0.7951807228915663	low	low			1112	18	2187	142	True	3	1	3	3	0	2	27	16	28	2	0.79608387	0.79907929	0.002995419999999971	mid	mid	LD	LPC
400	1198	cancel	invalidate	0.9010989010989012	0.8372093023255813	avg	low	s1		4	11	34	10	False	0	1	2	0	2	-1	8	7	5	4	0.3063569	0.3529891	0.04663220000000001	close	close	LD	LPC
401	132	carry	behave	0.6928104575163399	0.75	low	low			444	44	715	115	True	3	2	3	3	0	1	27	8	40	3	0.76508275	0.73752822	-0.027554530000000077	mid	mid	LPC	LPC
402	654	carry	contain	0.6928104575163399	0.7577639751552795	low	low			444	216	715	431	True	3	3	3	3	0	0	27	15	40	6	0.4400617	0.50028039	0.06021869000000002	close	close	LD	LPC
403	1737	carry	convey	0.6928104575163399	0.7730061349693251	low	low			444	46	715	63	True	3	2	3	2	0	0	27	11	40	7	0.85403742	0.82304194	-0.030995480000000075	mid	mid	LPC	LPC
404	749	carry	expect	0.6928104575163399	0.6577181208053691	low	low			444	419	715	826	True	3	3	3	3	0	0	27	10	40	6	0.73973699	0.69537009	-0.04436689999999999	mid	mid	LPC	LPC
405	1602	carry	extend	0.6928104575163399	0.7577639751552795	low	low			444	107	715	159	True	3	3	3	3	0	0	27	25	40	17	0.84738635	0.82639088	-0.020995469999999905	mid	mid	LPC	LPC
406	2082	carry	hold	0.6928104575163399	0.7096774193548387	low	low			444	1226	715	959	True	3	3	3	3	0	0	27	55	40	36	0.8851199	0.99342024	0.10830034	mid	far	LD	LD
407	632	carry	impart	0.6928104575163399	0.8764044943820225	low	avg	s2		444	14	715	14	True	3	1	3	1	0	0	27	13	40	3	0.89506795	0.90793868	0.012870730000000052	mid	mid	LD	LPC
408	1174	carry	persuade	0.6928104575163399	0.7261146496815287	low	low			444	30	715	14	True	3	2	3	1	0	-1	27	2	40	2	0.95194028	1.0545001	0.10255982000000008	far	far	LD	LD
409	1729	carry	take	0.6928104575163399	0.7096774193548387	low	low			444	35	715	115	True	3	2	3	3	0	1	27	65	40	42	0.54337171	0.70914133	0.16576962000000006	close	mid	LD	LD
410	560	carry	transmit	0.6928104575163399	0.7341772151898734	low	low			444	9	715	43	True	3	1	3	2	0	1	27	14	40	4	0.76277835	0.71417977	-0.04859858000000006	mid	mid	LPC	LPC
411	285	cast	chuck	0.8235294117647058	0.9637305699481864	low	avgstd	s2	s2	23	15	112	21	True	1	1	3	1	2	0	47	21	11	4	0.77115891	0.71954509	-0.05161382000000003	mid	mid	LPC	LPC
412	1137	cast	contrive	0.8235294117647058	0.9583333333333334	low	avgstd	s2	s2	23	18	112	3	False	1	1	3	0	2	-1	47	10	11	3	0.86548659	0.80475465	-0.06073193999999993	mid	mid	LPC	LPC
413	2204	cast	draw	0.8235294117647058	0.7804878048780488	low	low			23	48	112	157	True	1	2	3	3	2	1	47	39	11	36	0.74228459	0.79395747	0.05167288000000003	mid	mid	LD	LPC
414	640	cast	hurl	0.8235294117647058	0.9473684210526316	low	avgstd	s2	s2	23	14	112	17	True	1	1	3	1	2	0	47	5	11	3	0.70524987	0.87079537	0.1655455	mid	mid	LD	LD
415	2870	cast	put	0.8235294117647058	0.7421383647798743	low	low			23	8	112	4	False	1	0	3	0	2	0	47	15	11	9	0.76105206	0.73124162	-0.029810439999999994	mid	mid	LPC	LPC
416	1147	cast	roam	0.8235294117647058	0.8636363636363636	low	avg	s2		23	9	112	5	True	1	1	3	0	2	-1	47	11	11	1	0.86926134	0.87724229	0.007980949999999987	mid	mid	LD	LPC
417	1073	cast	throw	0.8235294117647058	0.7577639751552795	low	low			23	82	112	137	True	1	3	3	3	2	0	47	26	11	15	0.88569423	0.79990153	-0.08579270000000006	mid	mid	LPC	LPC
418	2655	cast	wander	0.8235294117647058	0.8372093023255813	low	low			23	100	112	120	True	1	3	3	3	2	0	47	21	11	5	0.82768976	0.90914798	0.08145821999999991	mid	mid	LD	LD
419	930	catch	beguile	0.7577639751552795	0.9528795811518324	low	avgstd	s2	s2	93	35	290	3	False	3	2	3	0	0	-2	26	14	29	2	0.51472628	0.53956221	0.02483593000000006	close	close	LD	LPC
420	174	catch	get	0.7577639751552795	0.6301369863013699	low	low			93	2654	290	10187	True	3	3	3	3	0	0	26	69	29	36	0.88291747	0.90032257	0.017405100000000062	mid	mid	LD	LPC
421	8	catch	grab	0.7577639751552795	0.8304093567251463	low	low			93	22	290	72	True	3	1	3	2	0	1	26	5	29	6	0.91757795	0.76373231	-0.15384564	far	mid	LPC	LPC
422	1493	catch	overhear	0.7577639751552795	0.907103825136612	low	avg	s2		93	4	290	7	False	3	0	3	0	0	0	26	2	29	1	0.83370601	0.92064803	0.08694201999999995	mid	far	LD	LD
423	2822	catch	overtake	0.7577639751552795	0.907103825136612	low	avg	s2		93	13	290	7	True	3	1	3	0	0	-1	26	9	29	3	0.7535897	0.90545258	0.15186287999999992	mid	mid	LD	LD
424	1286	catch	see	0.7577639751552795	0.6928104575163399	low	low			93	41	290	35	True	3	2	3	2	0	0	26	54	29	24	0.96373778	0.92396461	-0.039773170000000024	far	far	LPC	LPC
425	707	cease	discontinue	0.8505747126436781	0.8950276243093923	low	avg	s2		173	1	57	2	False	3	0	2	0	-1	0	8	7	2	3	0.66894372	0.79602597	0.12708224999999995	mid	mid	LD	LD
426	2551	cease	quit	0.8505747126436781	0.8235294117647058	low	low			173	7	57	10	True	3	0	2	0	-1	0	8	19	2	5	0.63267001	0.86788622	0.23521621000000004	close	mid	LD	LD
427	725	cease	stop	0.8505747126436781	0.7804878048780488	low	low			173	253	57	1060	True	3	3	2	3	-1	0	8	26	2	11	0.99698428	0.96605086	-0.03093341999999999	far	far	LPC	LPC
